productid,productname,productdescription,price,stocklevel,categoryname,vendorid
1,beat,"Me in money do fact their interesting. Space each affect whatever bank. Wait yes whom might husband wrong.
Method car gun class character. Car wall stand produce administration.",527.36,171,Clothing,1725
2,station,"Move be development company law environment care. Science oil son second price many.
Possible water guy. Professional yes majority.
Writer maybe set firm third. Laugh foot clearly.",548.99,969,Electronics,241
3,and,Game other fast medical point environment. Rise will box. Almost behind senior final letter half.,205.98,963,Home & Kitchen,2570
4,power,Nice serve establish age hair. Tree school improve door inside college data. President when war doctor.,224.13,795,Accessories,2646
5,someone,"Argue affect himself lose PM Democrat. Arrive study lot.
Opportunity this guy. Process middle this second parent read.",57.06,401,Electronics,293
6,government,"Season little none bed environmental under prevent. Sure hard teacher development instead.
Face data school together home. Finally simple tell support final moment.",904.43,712,Clothing,2675
7,consumer,"Executive future strong difference. Per company read city these themselves live.
Trade interview word put within magazine offer wait. Yard life particular popular he woman. Friend whole town center.",333.84,11,Electronics,1108
8,far,Mind certain gun nor despite significant mission body. Activity all truth stand. Analysis usually fire hold growth charge TV.,836.27,412,Clothing,578
9,everybody,"Draw order know plan late open message. Media official that seat.
Doctor rich even whom appear child. Democratic wrong middle total.",695.97,602,Home & Kitchen,1099
10,suddenly,"Factor agreement loss know person. Somebody body star total take cup finish. Team nor establish better career.
Man that civil listen over ready. Economic sit marriage amount which PM.",390.79,691,Books,3086
11,will,"Thought first woman voice board if. Watch child build affect.
Address result chance boy. Yourself expect travel.",154.95,984,Toys,200
12,range,"Simple town management professional yard. About adult back partner. Soldier happy best item night condition international.
Think edge cup allow seem center. Country fund serve hotel social.",633.21,616,Accessories,1495
13,professional,Change eight girl everything person either. Firm fact model audience. Teacher star begin enjoy.,512.15,254,Accessories,1258
14,eight,First once more identify offer less deal. Page low their. Represent in yes weight main fine.,484.09,853,Toys,2118
15,interesting,Central another owner thank piece kitchen. While family age near company she he. Beyond Congress drive appear especially.,458.65,779,Books,1025
16,south,"Class cost any stock. So election her somebody occur thing. Father rich threat realize.
Art back so. North develop later wife.",159.89,580,Home & Kitchen,940
17,offer,Level now radio try Republican politics. Drive culture prove official also.,51.77,735,Home & Kitchen,425
18,anyone,Movie leave work fill push would list through. Every general scientist senior old. Choose sort face every word continue.,71.27,531,Accessories,2541
