returnid,orderid,productid,returndate,returnreason,refundamount
1,2551,2865,2021-11-09,Wrong Item,909.21
2,788,59,2022-10-21,Other,384.77
3,1045,1714,2022-09-15,Other,698.26
4,2671,1302,2020-10-07,Damaged,698.39
5,2377,10,2022-06-22,Damaged,130.40
6,521,993,2022-02-02,Damaged,896.58
7,1652,1909,2021-11-30,Other,264.42
8,2742,77,2021-07-04,Damaged,233.70
9,585,1689,2022-03-12,Other,750.27
10,2288,2877,2023-08-02,Other,921.72
11,1942,1949,2021-12-07,Other,511.44
12,1449,562,2022-05-30,Wrong Item,552.13
13,2140,2627,2023-07-15,Damaged,420.08
14,1027,245,2022-06-08,Damaged,691.23
15,2194,1163,2020-07-14,Other,147.84
16,270,443,2020-11-08,Wrong Item,336.77
17,2213,997,2020-11-03,Wrong Item,448.78
18,140,433,2022-09-17,Wrong Item,257.72
19,788,2884,2020-06-20,Other,810.38
20,454,1717,2023-02-05,Other,677.92
21,2428,310,2022-11-11,Not as Described,473.23
22,367,2106,2020-07-19,Wrong Item,360.67
23,1546,2101,2023-08-09,Other,497.41
24,2808,1196,2021-10-29,Not as Described,695.59
25,1007,2655,2022-12-06,Other,448.21
26,194,686,2020-05-04,Other,704.18
27,2252,2014,2022-01-19,Other,613.73
28,27,2097,2020-04-30,Other,753.77
29,838,2687,2022-12-23,Other,349.50
30,2134,2875,2021-12-23,Damaged,722.17
31,2892,559,2021-07-27,Not as Described,767.86
32,1227,1997,2022-04-23,Not as Described,230.50
33,2733,1944,2021-09-03,Not as Described,708.41
34,1165,904,2023-12-01,Damaged,704.76
35,1556,1333,2021-05-31,Other,80.61
36,1077,2269,2021-10-09,Wrong Item,693.36
37,1266,701,2023-03-30,Wrong Item,441.39
38,1952,480,2020-12-28,Not as Described,191.44
39,1854,517,2023-08-28,Other,960.19
40,2740,1070,2022-07-07,Not as Described,741.60
41,2088,1699,2020-07-25,Damaged,468.00
42,1429,3090,2020-08-11,Other,296.33
43,3070,3024,2021-11-02,Other,865.59
44,2876,279,2023-05-27,Wrong Item,396.99
45,205,737,2021-08-19,Damaged,914.70
46,312,2893,2022-02-15,Damaged,195.75
47,567,1544,2020-09-26,Not as Described,703.77
48,2498,144,2022-06-27,Other,439.99
49,1015,2601,2023-11-05,Not as Described,990.98
50,120,597,2023-02-27,Other,38.06
51,1182,360,2023-05-07,Damaged,304.86
