shipmentid,orderid,shipmentdate,estimateddeliverydate,actualdeliverydate,carrier,trackingnumber
1,2556,2021-04-16,2021-03-06,2022-04-23,USPS,9eec7220-e1a6-4907-a05e-9fc5adb4a422
2,1988,2022-08-28,2022-03-02,2022-10-14,FedEx,
3,2172,2023-10-16,2020-04-25,2022-12-16,Local Courier,
4,1283,2021-04-15,2023-01-15,,DHL,f4649bed-5ec6-46f9-9389-bae3542447f4
5,2446,2021-11-08,2023-04-12,,DHL,
6,68,2020-03-06,2023-12-02,,UPS,
7,1968,2023-10-19,2022-08-31,2023-01-10,FedEx,6964678a-5917-48af-b90d-21f44f16bb9b
8,709,2021-04-23,2022-10-02,2020-02-03,Local Courier,
9,2998,2020-06-09,2023-09-21,2021-10-06,USPS,
10,1208,2021-08-20,2021-09-27,,UPS,
11,1877,2023-05-22,2020-11-28,,DHL,d98f5c0f-2bac-44d9-9886-235f78da0438
12,1860,2021-05-07,2022-03-28,,FedEx,
13,2191,2022-09-27,2020-12-14,,UPS,35e39951-2115-462d-a9d7-c16c06f747d3
14,1795,2022-11-22,2021-09-28,,FedEx,
15,1089,2022-10-24,2023-12-10,2020-04-25,FedEx,
16,1542,2022-09-01,2020-09-10,,UPS,c1208fef-7af6-4353-99ea-fe15a4845d0f
17,2729,2022-07-12,2021-03-01,,FedEx,299cd22b-ce9f-4f93-bea2-61b5b3dc538e
18,1982,2023-03-22,2023-11-02,2023-11-17,Local Courier,d45f2030-de6c-4ab4-b07d-3a6b70ef7210
19,1903,2020-01-08,2021-06-20,2022-02-26,FedEx,
20,2881,2022-08-27,2022-09-29,,FedEx,
21,725,2020-01-17,2023-03-15,2022-08-03,UPS,00712fb7-de09-4ca9-8884-aa62ce9d4db6
22,1314,2022-08-20,2022-05-14,2022-09-11,USPS,45d78958-60ef-44c5-976f-26670ba31ed1
23,1418,2020-03-19,2021-03-26,,USPS,
24,2188,2020-02-14,2021-07-09,,UPS,97f92dcd-7aa1-4cab-b163-66beb3239873
25,2669,2021-10-06,2023-07-24,,UPS,41b3e4c4-1d1e-4428-bbd8-e29d05c53e22
26,2083,2023-04-18,2021-09-29,,DHL,
27,2272,2023-09-30,2021-10-17,,USPS,
28,2688,2022-08-30,2022-10-31,,FedEx,2ee0c900-9720-4266-9a8c-cd8b23e772d2
29,3080,2022-01-02,2020-02-06,,USPS,
30,682,2023-05-26,2023-05-08,2022-11-13,UPS,ca67e3e6-6d01-443d-a18b-d38061932b3c
31,2089,2023-06-20,2023-08-11,2020-10-20,USPS,feb33089-5c24-4fb6-877a-ff9a5ff15f11
32,2700,2022-07-06,2021-08-11,2021-07-10,DHL,
33,1415,2020-10-08,2020-07-01,2023-02-12,Local Courier,7256bd66-2d14-4485-bc68-7ac4b9ed81b2
34,1506,2021-09-09,2021-10-14,,Local Courier,ddb619ee-320f-4b8f-97f7-22649d97ded2
35,2225,2023-05-22,2023-05-23,,USPS,88c2656e-7661-44dc-a1cd-65631afabbef
36,2093,2022-04-12,2020-03-20,,UPS,
37,2268,2022-11-25,2021-05-11,2023-11-21,FedEx,
38,2428,2023-06-19,2022-06-02,,USPS,80e4a665-339b-48a9-b052-3aee79c8cc22
39,643,2021-01-23,2022-08-13,,Local Courier,
40,2108,2023-07-04,2021-03-07,,FedEx,e861ccd1-3580-455c-862a-c05ae5abd50f
41,1515,2022-01-21,2023-04-27,2021-02-19,USPS,c008fafc-c624-4428-9b94-d00bd5376768
42,2070,2023-04-05,2020-06-12,2020-03-28,DHL,c2c759d6-77aa-43d2-9eea-a2a832c832fc
43,1262,2023-02-18,2022-06-17,2022-02-11,Local Courier,350bbcde-a05e-4e75-9c7d-e774d0fe56f0
44,1457,2023-06-27,2020-02-04,,Local Courier,
45,1052,2020-02-11,2022-12-03,2020-04-25,UPS,
46,1085,2023-05-08,2021-09-04,,FedEx,
47,2822,2021-07-26,2023-01-21,,FedEx,7614d9e9-2518-4891-8d25-f74fdd70266e
48,1193,2020-08-23,2023-08-04,2021-12-12,DHL,
49,50,2023-12-11,2021-07-07,,Local Courier,8185d32a-22c4-4948-8bbc-0885ceb5a009
50,1855,2020-04-11,2023-12-21,,UPS,
51,976,2023-10-17,2020-07-20,2021-05-07,FedEx,8ad4ffea-d485-41cd-a268-c6d83d80d9f7
52,2239,2020-06-07,2023-10-20,2020-09-10,DHL,
53,90,2023-06-18,2021-05-09,,Local Courier,
54,2554,2023-08-16,2021-01-28,,DHL,7daebaa5-3f2e-45ee-a0a5-8ab952aa02fe
55,206,2023-07-27,2022-08-08,2021-11-27,DHL,
